latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime
55.701,60.8297,307.0,1.1,1.0,2001-04-23,07:36,Terra,MODIS,56,6.03,294.9,3.9,D,0,M-C61,archive,2001-04-23 07:36:00
55.3007,61.2659,308.8,1.1,1.1,2001-04-23,07:36,Terra,MODIS,53,6.03,297.2,4.0,D,0,M-C61,archive,2001-04-23 07:36:00
55.2772,60.9188,308.7,1.1,1.0,2001-04-23,07:36,Terra,MODIS,61,6.03,296.1,5.2,D,0,M-C61,archive,2001-04-23 07:36:00
55.2743,60.9353,316.1,1.1,1.0,2001-04-23,07:36,Terra,MODIS,76,6.03,297.5,11.6,D,0,M-C61,archive,2001-04-23 07:36:00
55.2826,60.3983,318.5,1.1,1.0,2001-04-23,07:36,Terra,MODIS,79,6.03,297.4,13.9,D,0,M-C61,archive,2001-04-23 07:36:00
55.2737,60.3937,313.7,1.1,1.0,2001-04-23,07:36,Terra,MODIS,60,6.03,295.8,9.3,D,0,M-C61,archive,2001-04-23 07:36:00
55.1818,60.6049,312.2,1.1,1.0,2001-04-23,07:36,Terra,MODIS,71,6.03,297.3,7.4,D,0,M-C61,archive,2001-04-23 07:36:00
55.0128,61.0303,311.1,1.1,1.0,2001-04-23,07:36,Terra,MODIS,69,6.03,297.1,6.8,D,0,M-C61,archive,2001-04-23 07:36:00
55.0099,61.047,312.1,1.1,1.0,2001-04-23,07:36,Terra,MODIS,70,6.03,297.4,7.8,D,0,M-C61,archive,2001-04-23 07:36:00
54.9976,61.0039,363.1,1.1,1.0,2001-04-23,07:36,Terra,MODIS,100,6.03,300.9,103.6,D,0,M-C61,archive,2001-04-23 07:36:00
54.9947,61.0206,354.4,1.1,1.0,2001-04-23,07:36,Terra,MODIS,98,6.03,300.3,77.7,D,0,M-C61,archive,2001-04-23 07:36:00
54.9886,60.999,311.3,1.1,1.0,2001-04-23,07:36,Terra,MODIS,69,6.03,297.2,7.0,D,0,M-C61,archive,2001-04-23 07:36:00
54.8694,61.6587,308.7,1.2,1.1,2001-04-23,07:36,Terra,MODIS,43,6.03,297.2,4.8,D,0,M-C61,archive,2001-04-23 07:36:00
54.9942,60.9113,315.4,1.1,1.0,2001-04-23,07:36,Terra,MODIS,74,6.03,298.2,10.7,D,0,M-C61,archive,2001-04-23 07:36:00
54.9913,60.9278,317.3,1.1,1.0,2001-04-23,07:36,Terra,MODIS,76,6.03,298.0,12.6,D,0,M-C61,archive,2001-04-23 07:36:00
55.0295,60.4301,313.9,1.1,1.0,2001-04-23,07:36,Terra,MODIS,55,6.03,295.5,9.7,D,0,M-C61,archive,2001-04-23 07:36:00
54.8276,60.4659,348.9,1.1,1.0,2001-04-23,07:36,Terra,MODIS,95,6.03,300.0,61.2,D,0,M-C61,archive,2001-04-23 07:36:00
54.8248,60.4821,351.6,1.1,1.0,2001-04-23,07:36,Terra,MODIS,96,6.03,300.6,67.5,D,0,M-C61,archive,2001-04-23 07:36:00
54.8124,60.4401,322.7,1.1,1.0,2001-04-23,07:36,Terra,MODIS,81,6.03,296.0,18.6,D,0,M-C61,archive,2001-04-23 07:36:00
54.8096,60.4563,308.8,1.1,1.0,2001-04-23,07:36,Terra,MODIS,57,6.03,296.1,5.1,D,0,M-C61,archive,2001-04-23 07:36:00
